Extracting links from main url...
Extracting individual faculty info...
Stevan Radojev                 ['Education', 'PhD, Boston College', 'MA, Brandeis University']
Prashant Sharma                ['Education', 'PhD, Boston University', 'MS, Banaras Hindu University, India', 'BS, Banaras Hindu University, India']
Lisa Shatz                     ['Education', 'PhD, Massachusetts Institute of Technology', 'MS, Massachusetts Institute of Technology', 'BS, Massachusetts Institute of Technology']
Mohamed Zatet                  ['Education', 'PhD, Tufts University', 'MS, Tufts University', 'BS, Constantine University']
Mostapha Ziad                  ['Education', 'PhD, Boston University', 'MS, Boston University', 'BS, University of Algiers']
Michael Basseches              ['Education', 'PhD, Harvard Univeristy', 'BA, Swarthmore College']
Krisanne Bursik                ['Education', 'PhD, Boston University', 'MA, Boston University', 'BA, Villanova University']
Lisa Coyne                     ['Education', 'PhD, University of Mississippi', 'MA, University of Mississippi', 'BS, University of Scranton']
Rosemarie DiBiase              ['Education', 'PhD, Temple University', 'MA, Temple University', 'BA, University of New Hampshire']
Gary Fireman                   ['Education', 'PhD, Long Island University', 'MA, Long Island University', 'BA, University of Michigan']
David Gansler                  ['Education', 'PhD, State University of New York at Albany', 'BS, State University of New York at Albany']
Lotte Smith-Hansen             ['Education', 'Ph.D., University of Massachusetts, Amherst', 'M.S., University of Massachusetts, Amherst', 'M.A., Texas State University', 'B.A., University of Texas, Austin']
Debra Harkins                  ['Education', 'PhD, Clark University', 'MA, Clark University', 'BS, University of Massachusetts, Boston']
Matthew Jerram                 ['Education', 'PhD, Suffolk University', 'MA, Suffolk University', 'MLA, Johns Hopkins University', 'BA, Johns Hopkins University']
Gabrielle Liverant             ['Education', 'PhD, Boston University', 'MA, Boston University', 'BA, Wesleyan University']
Amy Marks                      ['Education', 'PhD, Brown University', 'BA, Cornell University']
David Medoff                   ['Education', 'PhD, Fairleigh Dickinson University', 'MA, Fairleigh Dickinson University', 'BA, Boston University']
Elisabeth Moes                 ['Education', 'PhD, Pennsylvania State University', 'MA, University of Edinburgh, Scotland']
Susan Orsillo                  ['Education', 'PhD, University at Albany, SUNY', 'MA, University at Albany, SUNY', 'BA, University at Albany, SUNY']
Sukanya Ray                    ['Education', 'PhD, Indian Institute of Technology, Bombay', 'MPhil, Utkal University', 'MA, Utkal University', 'BA, Utkal University']
Sarah Schwartz                 ['Education', 'PhD, University of Massachusetts Boston', 'MA, University of Massachusetts Boston', 'MEd, Harvard Graduate School of Education', 'BA, Brown University']
David Shumaker                 ['Education', 'PhD, University of South Carolina', 'BA, Harvard University']
Michael K. Suvak               ['Education', 'PhD, Boston University', 'MA, Boston University', 'BS, The Pennsylvania State University']
Lance Swenson                  ['Education', 'PhD, University of Missouri, Columbia', 'MA, University of Missouri, Columbia', 'BS, University of Georgia, Athens']
