Word,Sentiment Level
helpless,2.1
delusional,2.1
billed,2.1
dispatcher,2.1052631578947367
clump,2.107142857142857
theft,2.108695652173913
moldy,2.1153846153846154
lousy,2.1171171171171173
zero,2.1231593038821956
prepay,2.125
deception,2.125
screwing,2.125
waste,2.127659574468085
inept,2.128205128205128
empathy,2.130434782608696
atrocious,2.1311475409836067
bewildered,2.1333333333333333
contempt,2.1333333333333333
unedible,2.1333333333333333
gossiping,2.1379310344827585
egregious,2.142857142857143
confront,2.142857142857143
unorganized,2.145631067961165
verbally,2.1463414634146343
nerve,2.148936170212766
eatable,2.15
unattentive,2.15
jagged,2.1538461538461537
cancellation,2.1538461538461537
hertz,2.1538461538461537
disconnect,2.1578947368421053
blandness,2.1578947368421053
nonchalant,2.1578947368421053
rotting,2.161290322580645
uninterested,2.1639344262295084
budge,2.1666666666666665
hostile,2.1666666666666665
prostitute,2.1666666666666665
turd,2.1666666666666665
worthless,2.1724137931034484
unsuspecting,2.1724137931034484
tepid,2.1739130434782608
scold,2.176470588235294
nastiness,2.176470588235294
prison,2.1794871794871793
unfolded,2.1818181818181817
explicitly,2.1818181818181817
enemy,2.1818181818181817
reconcile,2.1818181818181817
surveillance,2.1818181818181817
incapable,2.1818181818181817
salmonella,2.1875
slop,2.188679245283019
thief,2.1923076923076925
bait,2.1954022988505746
sympathize,2.2
disinterested,2.2
smug,2.2
unemployed,2.2
sewage,2.2
irate,2.2
mumbling,2.2
reschedule,2.2
investigation,2.2
inefficient,2.2083333333333335
unkempt,2.210526315789474
shrug,2.2142857142857144
pleading,2.2142857142857144
disbelief,2.2142857142857144
roach,2.2153846153846155
belligerent,2.217391304347826
publicly,2.2222222222222223
boycott,2.2222222222222223
false,2.2222222222222223
worse,2.224934036939314
blob,2.227272727272727
permission,2.2291666666666665
lukewarm,2.2325581395348837
slopped,2.235294117647059
thirdly,2.238095238095238
useless,2.23841059602649
disgust,2.239130434782609
unresponsive,2.24
embarrassment,2.2439024390243905
bogus,2.2439024390243905
reply,2.2487804878048783
hag,2.25
lawsuit,2.25
tipper,2.25
unsatisfactory,2.25
horribly,2.2545454545454544
inconsiderate,2.25531914893617
sarcastic,2.257142857142857
improperly,2.2580645161290325
visibly,2.2586206896551726
frustration,2.25974025974026
snide,2.260869565217391
semblance,2.263157894736842
revolting,2.263157894736842
cocky,2.2666666666666666
unwelcome,2.2666666666666666
acknowledged,2.266932270916335
incorrect,2.26875
incident,2.268867924528302
screwed,2.2690763052208833
untrained,2.269230769230769
unsatisfying,2.269230769230769
threatening,2.27027027027027
apologize,2.2720403022670026
poor,2.2728835410399655
protest,2.2777777777777777
vile,2.2777777777777777
curled,2.2777777777777777
proceeds,2.2783505154639174
immature,2.28125
pretended,2.282051282051282
unappetizing,2.287037037037037
untouched,2.287671232876712
dismal,2.2903225806451615
operator,2.290909090909091
rape,2.2916666666666665
dump,2.292682926829268
investigating,2.2941176470588234
haphazard,2.2941176470588234
flawed,2.2941176470588234
choke,2.2941176470588234
mealy,2.2962962962962963
meanwhile,2.2992125984251968
unwashed,2.3
stitching,2.3
ghastly,2.3
projectile,2.3
breach,2.3
moot,2.3
dreg,2.3
ugh,2.306451612903226
artificially,2.3076923076923075
miserably,2.3095238095238093
response,2.311811023622047
racial,2.3125
contracted,2.317073170731707
uneven,2.3174603174603177
marginal,2.3181818181818183
upset,2.3198924731182795
dreadful,2.3214285714285716
nasty,2.3225806451612905
rip,2.3230769230769233
blaming,2.323529411764706
repeated,2.3260869565217392
wasted,2.3284313725490198
vomit,2.329896907216495
disheartening,2.3333333333333335
scowl,2.3333333333333335
sickly,2.3333333333333335
rampant,2.3333333333333335
ruined,2.3333333333333335
meaningless,2.3333333333333335
overcharge,2.3333333333333335
haggard,2.3333333333333335
idiotic,2.3333333333333335
bluntly,2.3333333333333335
remake,2.3333333333333335
unemployment,2.3333333333333335
responsibility,2.3391304347826085
murky,2.347826086956522
notified,2.3482142857142856
invoice,2.35
representative,2.35
plague,2.3506493506493507
urine,2.3513513513513513
ambulance,2.3529411764705883
admitted,2.353846153846154
inattentive,2.3552631578947367
inconvenience,2.3568464730290457
fletcher,2.357142857142857
knowingly,2.357142857142857
dissatisfied,2.358490566037736
gross,2.3587982832618026
intelligence,2.3636363636363638
inserted,2.3636363636363638
muttering,2.3636363636363638
reiterated,2.3636363636363638
illegally,2.3636363636363638
childish,2.3636363636363638
cursory,2.3636363636363638
solicited,2.3636363636363638
sandpaper,2.3636363636363638
discernible,2.3684210526315788
ing,2.3684210526315788
lackadaisical,2.3684210526315788
hideous,2.369565217391304
stale,2.3716337522441653
billing,2.373134328358209
disaster,2.3740458015267176
deceptive,2.375
dehydration,2.375
failure,2.375
incorrectly,2.3766233766233764
inexperienced,2.383720930232558
nausea,2.3846153846153846
lien,2.3846153846153846
override,2.3846153846153846
slimy,2.3873873873873874
rung,2.388888888888889
inappropriately,2.388888888888889
lint,2.388888888888889
argument,2.392405063291139
faulty,2.393939393939394
assumption,2.393939393939394
miserable,2.3945945945945946
edible,2.3987854251012144
loudly,2.398843930635838
behavior,2.398907103825137
viscous,2.4
unexciting,2.4
browning,2.4
aggravating,2.4
leathery,2.4
flinch,2.4
pap,2.4
gasket,2.4
unfairly,2.4
runaround,2.4
unforgivable,2.4
translucent,2.4
fooling,2.4
wort,2.4
entail,2.4
mumble,2.4
rust,2.4
dissatisfaction,2.40625
musty,2.4107142857142856
unimpressive,2.411111111111111
unanswered,2.411764705882353
stolen,2.4121621621621623
redeem,2.4140625
gristly,2.4166666666666665
acetone,2.4166666666666665
agony,2.4166666666666665
abrasive,2.4166666666666665
principle,2.4166666666666665
omen,2.4166666666666665
existent,2.420289855072464
mediocre,2.420967741935484
teaspoon,2.423076923076923
invisible,2.4242424242424243
pharmacist,2.4242424242424243
lumpy,2.425
inform,2.4262295081967213
naive,2.4285714285714284
grossness,2.4285714285714284
apathetic,2.4285714285714284
harass,2.433333333333333
discretion,2.4347826086956523
curt,2.435483870967742
misunderstanding,2.4358974358974357
unpleasant,2.436734693877551
caucasian,2.4375
disinfectant,2.4375
expiring,2.4375
coffin,2.4375
slime,2.4375
piss,2.43801652892562
memo,2.44
mildew,2.44
arriba,2.4444444444444446
sympathy,2.4444444444444446
arrogant,2.4453125
unhappy,2.4483985765124556
discrepancy,2.45
dud,2.45
profanity,2.45
stung,2.4545454545454546
soured,2.4545454545454546
dumping,2.4545454545454546
payed,2.4565217391304346
unsatisfied,2.46
elbowed,2.4615384615384617
violation,2.4615384615384617
sorely,2.462962962962963
nope,2.4662447257383966
unevenly,2.466666666666667
reconsider,2.466666666666667
progressively,2.466666666666667
receipt,2.466996699669967
bleeding,2.46875
urgency,2.4693877551020407
straw,2.4696356275303644
compensate,2.4698795180722892
obese,2.4705882352941178
broom,2.4705882352941178
joke,2.4710743801652892
gristle,2.4714285714285715
letdown,2.476923076923077
wasting,2.477064220183486
unsafe,2.480769230769231
rag,2.4814814814814814
yelling,2.483050847457627
file,2.485
management,2.4861913937058446
garbage,2.486322188449848
indifferent,2.4886363636363638
politely,2.492424242424242
lease,2.4930555555555554
severely,2.493333333333333
advertise,2.4945054945054945
accountability,2.5
hillbilly,2.5
warped,2.5
excellently,4.318181818181818
delightfully,4.318181818181818
ville,4.319148936170213
frothy,4.32
hesitation,4.32
aerial,4.32
await,4.321428571428571
superbly,4.321428571428571
venison,4.321428571428571
importantly,4.3215859030837
autumn,4.32258064516129
scorpion,4.32258064516129
graham,4.3232323232323235
elegantly,4.324324324324325
spiritual,4.325
seasonally,4.325581395348837
conservatory,4.326086956521739
genuinely,4.328571428571428
hemp,4.333333333333333
briny,4.333333333333333
wag,4.333333333333333
coed,4.333333333333333
guitarist,4.333333333333333
talker,4.333333333333333
ode,4.333333333333333
hale,4.333333333333333
budding,4.333333333333333
twister,4.333333333333333
libby,4.333333333333333
accountant,4.333333333333333
roka,4.333333333333333
clockwork,4.333333333333333
kyle,4.333333333333333
camembert,4.333333333333333
coaching,4.333333333333333
purveyor,4.333333333333333
corking,4.333333333333333
naga,4.333333333333333
basilica,4.333333333333333
fearful,4.333333333333333
contribution,4.333333333333333
sourness,4.333333333333333
scrambler,4.333333333333333
anton,4.333333333333333
fairy,4.333333333333333
saguaro,4.333333333333333
incomparable,4.333333333333333
intensity,4.333333333333333
inaugural,4.333333333333333
brett,4.333333333333333
kris,4.333333333333333
czech,4.333333333333333
overture,4.333333333333333
invigorating,4.333333333333333
gene,4.333333333333333
